,BPC9,BPC10,BPC11,BPC12,BPC13,BPC14,BPC15,BPC16,BPCdem1,BPCdem2,indpt_EO,xdemWhite,demBlackBin,xdemHispBin,demRaceOther,age_18-34,age_35-44,age_45-64,age_65+,xeduc3_nocollege,xeduc3_bach,xeduc3_postgrad,xpid3_D,xpid3_I,xpid3_R,xsubVote20O_Biden,xsubVote20O_Trump,xsubVote20O_Other,xsubVote20O_NoVote,xdemGender_M,xdemGender_F
41,3,2,5,3,1,1,1,1,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
42,3,4,4,2,3,3,3,2,0.0,,1,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
43,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
44,1,1,1,1,1,1,1,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
45,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
46,2,2,2,3,2,2,2,3,,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
47,4,4,4,4,2,3,3,3,,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
48,1,2,1,4,5,1,1,3,,1.0,1,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
49,3,3,3,3,3,3,3,3,1.0,,0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
50,1,1,1,1,1,1,1,1,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
51,3,1,5,3,3,1,2,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
52,2,2,2,2,2,2,2,2,,1.0,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
53,5,2,5,4,2,5,2,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
54,1,1,1,1,3,3,3,3,,1.0,1,0.0,1.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
55,4,2,2,4,4,4,2,4,1.0,,0,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
